Intervention,Trial_Count,Active_Hope_Count,Failed_Count,Completed_Count,Mean_Success_Score,Mean_Failure_Index,Pathways,Repurposing_Opportunity_Score
donepezil,72,5,11,49,49.32432432432432,59.4054054054054,Synaptic / Cognitive; Cholinergic; Cholinergic; NMDA / Glutamate; Metabolic / Mitochondrial; Cholinergic; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital; Synaptic / Cognitive; Cholinergic; Vascular,264.72972972972974
memantine,30,1,5,22,57.58064516129032,54.70967741935484,Cholinergic; NMDA / Glutamate; Metabolic / Mitochondrial; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital; Synaptic / Cognitive; NMDA / Glutamate; Tau; Synaptic / Cognitive; NMDA / Glutamate; NMDA / Glutamate,122.03225806451613
donanemab,14,11,0,3,64.28571428571429,51.714285714285715,Amyloid; Amyloid; Tau; Tau; Synaptic / Cognitive; Tau; Amyloid; Synaptic / Cognitive,114.71428571428572
florbetapir f 18,20,0,1,19,62.85,51.25,Amyloid; Tau; Synaptic / Cognitive; Tau; Synaptic / Cognitive; Unspecified / Other; Amyloid; Synaptic / Cognitive; Amyloid,101.14
lecanemab,10,10,0,0,55.8,58.9,Amyloid; Tau; Synaptic / Cognitive; Tau; Amyloid; Synaptic / Cognitive; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,92.32
flortaucipir f18,16,1,1,14,61.8125,52.25,Tau; Tau; Synaptic / Cognitive,87.725
karxt,8,8,0,0,78.75,46.25,Unspecified / Other; Synaptic / Cognitive,87.5
galantamine hydrobromide,13,0,0,13,78.23076923076923,40.53846153846154,Synaptic / Cognitive; Cholinergic; Cholinergic; Synaptic / Cognitive; Cholinergic; Lifestyle / Digital; Synaptic / Cognitive; Cholinergic; Vascular,83.29230769230769
mri,16,4,1,5,52.3125,57.8125,Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Vascular,80.925
dimebon,13,0,3,19,51.18181818181818,60.40909090909091,Unspecified / Other; Cholinergic; Metabolic / Mitochondrial; Cholinergic; NMDA / Glutamate,78.47272727272727
donepezil hydrochloride,14,1,1,11,56.07142857142857,55.142857142857146,Synaptic / Cognitive; Cholinergic; Synaptic / Cognitive; Cholinergic; Vascular; Cholinergic; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital; Cholinergic; NMDA / Glutamate,75.42857142857143
bms-708163,10,0,0,19,43.21052631578947,63.68421052631579,Cholinergic; Unspecified / Other,75.28421052631579
